Author,Mapped Genres
cokal susann,"fantasy, historical, young adult, historical, fiction, fairy tales, adult"
r. j. anderson,"young adult, science fiction, paranormal, fantasy, mystery, aliens, romance"
niki smith,"graphic novel, fantasy, middle grade, lgbt, comic book, queer, young adult"
blake kendare,"fantasy, young adult, young adult, audiobook, fiction, magic, romance"
adoff jaime,"young adult, contemporary, fiction, realistic fiction, teen, high school, social"
e.l. james,"romance, fiction, erotica, bdsm, adult, contemporary, contemporary"
kaiu shirai,"manga, horror, fantasy, graphic novel, mystery, young adult, fiction"
kate elliott,"fantasy, young adult, young adult, fiction, romance, audiobook, high fantasy"
bich minh nguyen,"memoir, non-fiction, food, biography, biography, asia, book club"
susane colasanti,"young adult, romance, contemporary, realistic fiction, teen, fiction, young adult"
nathan d. wilson,"fantasy, fiction, middle grade, young adult, adventure, childrens, mystery"
huxley aldous,"fiction, science fiction, dystopia, classics, , , fantasy"
stanley tookie williams,"non-fiction, crime, biography, memoir, autobiography, true crime, biography"
king stephen,"horror, fiction, thriller, fantasy, supernatural, mystery, audiobook"
reyna grande,"memoir, non-fiction, biography, biography, audiobook, autobiography, family"
daud somaiya,"fantasy, young adult, science fiction, romance, young adult, fiction, audiobook"
sarah j. maas,"young adult, romance, fiction, magic, fantasy, young adult, high fantasy"
michelle ruiz keil,"fantasy, young adult, lgbt, magic, fiction, contemporary, queer"
chris colfer,"fantasy, middle grade, magic, young adult, fiction, audiobook, adventure"
clare cassandra,"fantasy, young adult, romance, paranormal, urban, vampires, fiction"
adams douglas,"science fiction, fiction, humor, fantasy, comedy, classics, audiobook"
golden arthur,"fiction, historical, romance, historical, adult, , asia"
cormac mccarthy,"fiction, thriller, westerns, crime, mystery, , "
vivs bastien,"comic book, graphic novel, fantasy, manga, comic book, young adult, france"
tim o'brien,"fiction, historical, classics, war, short stories, school, historical"
nd stevenson,"graphic novel, fantasy, young adult, fiction, queer, lgbt, graphic novel"
aida salazar,"middle grade, poetry, lgbt, realistic fiction, fiction, queer, contemporary"
rice anne,"horror, fantasy, vampires, fiction, paranormal, supernatural, urban"
ponti james,"middle grade, fantasy, zombies, young adult, horror, paranormal, fiction"
c. b. lee,"fantasy, historical, young adult, retellings, lesbian, lgbt, historical"
sarah j. maas,"fantasy, romance, romance, fiction, young adult, new adult, fantasy"
james franco,"short stories, fiction, young adult, contemporary, coming of age, american, adult"
hoover colleen,"romance, young adult, contemporary, fiction, new adult, audiobook, mental health"
chelo manchego,"picture books, childrens, fiction"
peter ackerman,"plays, audiobook, theatre, drama, humor"
gail carriger,"fantasy, steampunk, romance, paranormal, vampires, urban, fiction"
cherry alison,"young adult, contemporary, romance, chick lit, road trip, fiction, travel"
david levithan,"young adult, lgbt, romance, contemporary, fiction, queer, "
ann patchett,"fiction, contemporary, literary fiction, historical, audiobook, book club, music"
amy ignatow,"middle grade, graphic novel, childrens, school, humor, juvenile"
tom birdseye,"middle grade, humor, audiobook"
hoover colleen,"contemporary, new adult, fiction, audiobook, contemporary, young adult, adult"
anastasia higginbotham,"picture books, non-fiction, childrens, social, race, anti racist, activism"
jerry spinelli,"fiction, young adult, realistic fiction, sports, middle grade, childrens, juvenile"
jodi picoult,"fiction, contemporary, drama, chick lit, adult, adult, mystery"
sam moussavi,"sports, young adult"
black holly,"fantasy, young adult, romance, enemies to lovers, young adult, fiction, audiobook"
marrin albert,"historical, non-fiction, biography, civil war, american, juvenile, middle grade"
jonathan kellerman,"mystery, fiction, crime, audiobook, thriller, suspense, mystery"
judy blundell,"young adult, historical, mystery, fiction, historical, romance, teen"
kate lauren,"young adult, fantasy, romance, angels, paranormal, paranormal, supernatural"
chuck palahniuk,"horror, fiction, short stories, contemporary, thriller, dark, adult"
sara shepard,"young adult, mystery, fiction, contemporary, romance, chick lit, thriller"
john irving,"fiction, classics, , contemporary, , literary fiction, humor"
daz junot,"fiction, magic, literary fiction, historical, , contemporary, audiobook"
rodman philbrick,"young adult, realistic fiction, fiction, middle grade, school, childrens, school"
maguire gregory,"middle grade, fantasy, animals, childrens, fiction, adventure, family"
mahogany l. browne,"poetry, picture books, middle grade, social, non-fiction, childrens, "
alex willan,"picture books, fantasy, unicorns, childrens, humor, storytime, fiction"
leigh bardugo,"fantasy, young adult, romance, fiction, young adult, magic, high fantasy"
shaun david hutchinson,"young adult, fantasy, lgbt, science fiction, queer, contemporary, magic"
ann patchett,"fiction, literary fiction, contemporary, audiobook, book club, adult, mystery"
ibi zoboi,"young adult, short stories, contemporary, anthology, fiction, lgbt, audiobook"
ward rachel,"young adult, fantasy, science fiction, dystopia, fiction, paranormal, number"
brandon sanderson,"fantasy, young adult, science fiction, fiction, dystopia, audiobook, urban"
cecily von ziegesar,"young adult, chick lit, contemporary, fiction, romance, teen, high school"
terry catasus jennings,"realistic fiction, chapter books, adventure, middle grade, juvenile, fiction, childrens"
coe booth,"young adult, realistic fiction, african american, urban, teen, drama, contemporary"
gwyn hyman rubio,"fiction, historical, adult, coming of age, contemporary, , historical"
e. r. frank,"young adult, , realistic fiction, short stories, fiction, contemporary, teen"
bryan stevenson,"non-fiction, memoir, social, race, audiobook, politics, historical"
orwell george,"classics, fiction, science fiction, dystopia, , politics, "
mahogany l. browne,"poetry, young adult, contemporary, fiction, audiobook, realistic fiction, coming of age"
holly jackson,"mystery, thriller, young adult, mystery, crime, fiction, audiobook"
james patterson,"mystery, fiction, thriller, crime, suspense, mystery, audiobook"
meg cabot,"young adult, romance, fiction, chick lit, contemporary, teen, humor"
t.c. boyle,"short stories, fiction, anthology, , collections, contemporary, short stories"
kelman judith,"mystery, mystery, suspense, crime, fiction, thriller"
ward rachel,"young adult, fantasy, science fiction, dystopia, fiction, paranormal, romance"
harris charlaine,"fantasy, vampires, paranormal, urban, romance, fiction, mystery"
rachael lippincott,"romance, lgbt, lesbian, young adult, contemporary, queer, fiction"
michele campbell,"mystery, thriller, fiction, mystery, audiobook, suspense, psychology"
a. g. howard,"fantasy, young adult, retellings, romance, magic, fairy tales, audiobook"
one title not specified),"comic book, graphic novel, fantasy, manga, humor, fiction, comedy"
donnelly jennifer,"fantasy, young adult, retellings, romance, fairy tales, fiction, audiobook"
gayle forman,"young adult, romance, contemporary, fiction, new adult, travel, realistic fiction"
plath sylvia,"fiction, feminism, mental health, psychology, , literary fiction, "
sones sonya,"young adult, poetry, romance, realistic fiction, fiction, contemporary, teen"
octavia e. butler,"historical, fiction, science fiction, fantasy, time travel, classics, historical"
thrash maggie,"mystery, young adult, mystery, thriller, fiction, contemporary, high school"
ng celeste,"fiction, contemporary, audiobook, literary fiction, adult, adult, mystery"
black holly,"fantasy, young adult, romance, enemies to lovers, fae, young adult, fiction"
connor leslie,"middle grade, realistic fiction, mystery, fiction, young adult, audiobook, family"
norton preston,"young adult, contemporary, realistic fiction, humor, lgbt, fiction, romance"
jason reynolds,"young adult, fiction, realistic fiction, contemporary, , audiobook, social"
brian conaghan,"young adult, fiction, contemporary, disability, realistic fiction, humor, audiobook"
deb caletti,"young adult, contemporary, romance, mystery, fiction, realistic fiction, audiobook"
jennifer a. nielsen,"historical, middle grade, historical, young adult, fiction, audiobook, adventure"
tim federle,"middle grade, realistic fiction, humor, lgbt, young adult, fiction, audiobook"
starr cecie,"science, reference, textbooks, non-fiction, biology"
lee sandra,"fiction, chick lit, romance, adult, family, womens, drama"
vivan siobhan,"young adult, fiction, realistic fiction, teen, contemporary, art, chick lit"
frazier charles,"historical, fiction, historical, romance, civil war, war, classics"
paul langan,"young adult, realistic fiction, fiction, school, contemporary, teen, drama"
e. lockhart,"young adult, mystery, thriller, contemporary, fiction, mystery, audiobook"
marie rutkoski,"fantasy, young adult, lgbt, lesbian, romance, queer, young adult"
neil gaiman,"fantasy, fiction, mythology, urban, audiobook, science fiction, science fiction"
kelly jensen,"non-fiction, mental health, short stories, anthology, essays, psychology, mental health"
alice walker,"fiction, historical, feminism, lgbt, historical, queer, "
jr. kurt vonnegut,"fiction, science fiction, classics, dystopia, , , humor"
ellen hopkins,"young adult, poetry, fiction, contemporary, mental health, realistic fiction, abuse"
cammie mcgovern,"romance, young adult, contemporary, mental health, fiction, realistic fiction, young adult"
lynn picknett,"non-fiction, historical, religion, conspiracy theories, christianity, historical, philosophy"
laura j. burns,"young adult, mystery, thriller, contemporary, boarding school, science fiction, suspense"
rachel hartman,"fantasy, young adult, dragons, fiction, young adult, adventure, audiobook"
rice anne,"horror, fantasy, fiction, paranormal, witches, supernatural, urban"
gay roxane,"non-fiction, feminism, essays, audiobook, memoir, social, anthology"
mindy mcginnis,"historical, young adult, mystery, historical, thriller, fiction, horror"
king stephen,"horror, fiction, thriller, fantasy, science fiction, paranormal, mystery"
sara tuvel bernstein,"holocaust, non-fiction, historical, memoir, biography, world war ii, audiobook"
nancy springer,"mystery, historical, young adult, fiction, middle grade, historical, audiobook"
yarros rebecca,"romance, dragons, fiction, audiobook, enemies to lovers, fantasy, magic"
hannah kristin,"fiction, romance, chick lit, contemporary, drama, womens, audiobook"
ruby bridges,"biography, non-fiction, historical, picture books, memoir, childrens, autobiography"
clare cassandra,"fantasy, young adult, romance, paranormal, urban, fiction, vampires"
robin lafevers,"fantasy, young adult, historical, romance, historical, fiction, young adult"
amir. abrams,"young adult, romance, drama, contemporary, fiction"
j. courtney sullivan,"fiction, chick lit, contemporary, feminism, adult, adult, "
